run,evaluations,best_fitness,current_fitness,temperature,accepted
17,1478.2,1348912.211542,1348912.211542,0.750473,1
17,1479.2,1348912.211542,1348912.211542,0.675426,1
17,1500.9,1347328.566725,1347328.566725,0.607883,1
17,1505.9,1346780.065848,1346780.065848,0.547095,1
17,1510.9,1346780.065848,1346780.065848,0.492385,1
17,1524.9,1346772.640112,1346772.640112,0.443147,1
17,1526.9,1346768.549680,1346768.549680,0.398832,1
17,1548.5,1344326.826835,1344326.826835,0.358949,1
17,1551.5,1344323.959110,1344323.959110,0.323054,1
17,1552.5,1344323.959110,1344323.959110,0.290749,1
17,1574.2,1341794.969520,1341794.969520,0.261674,1
17,1582.2,1341727.715878,1341727.715878,0.235506,1
17,1587.2,1341727.715878,1341727.715878,0.211956,1
17,1588.2,1341727.715878,1341727.715878,0.190760,0
17,1607.2,1341627.544706,1341627.544706,0.171684,1
17,1628.8,1338734.830270,1338734.830270,0.154516,1
17,1629.8,1338727.672490,1338727.672490,0.139064,1
17,1630.8,1338727.672490,1338727.672490,0.125158,1
17,1652.4,1334919.737896,1334919.737896,0.112642,1
17,1681.4,1334847.071470,1334847.071470,0.101378,1
17,1682.4,1334847.071470,1334847.071470,5.000000,1
17,1704.0,1331979.389950,1331979.389950,4.500000,1
17,1705.0,1331979.354103,1331979.354103,4.050000,1
17,1706.0,1331979.354103,1331979.354103,3.645000,1
17,1727.5,1329071.652860,1329071.652860,3.280500,1
17,1768.5,1329065.580256,1329065.580256,2.952450,1
17,1773.6,1329065.580256,1329065.580256,2.657205,1
17,1862.6,1329065.580256,1329065.580256,2.391485,1
17,1951.6,1329065.580256,1329065.580256,2.152336,1
17,1973.1,1327242.512442,1327242.512442,1.937102,1
17,2107.1,1327242.512442,1327242.512442,1.743392,1
17,2108.1,1327242.512442,1327242.512442,1.569053,1
17,2129.6,1325467.578300,1325467.578300,1.412148,1
17,2165.6,1325447.841719,1325447.841719,1.270933,1
17,2178.0,1325447.841719,1325447.841719,1.143840,1
17,2185.0,1325428.356794,1325428.356794,1.029456,1
17,2226.0,1325428.049421,1325428.049421,0.926510,1
17,2247.5,1324682.715320,1324682.715320,0.833859,1
17,2252.5,1324677.106559,1324677.106559,0.750473,1
17,2253.5,1324677.106559,1324677.106559,0.675426,1
17,2275.0,1320768.233322,1320768.233322,0.607883,1
17,2283.0,1320765.050299,1320765.050299,0.547095,1
17,2288.1,1320765.050299,1320765.050299,0.492385,1
17,2311.1,1320720.926851,1320720.926851,0.443147,1
17,2312.1,1320720.926851,1320720.926851,0.398832,1
17,2333.5,1317990.401511,1317990.401511,0.358949,1
17,2356.5,1317990.334264,1317990.334264,0.323054,1
17,2357.5,1317990.334264,1317990.334264,0.290749,1
17,2379.0,1314992.613709,1314992.613709,0.261674,1
17,2412.0,1314979.117028,1314979.117028,0.235506,1
17,2424.4,1314979.117028,1314979.117028,0.211956,1
17,2425.4,1314979.117028,1314979.117028,0.190760,1
17,2549.4,1314979.117028,1314979.117028,0.171684,1
17,2570.8,1311921.303038,1311921.303038,0.154516,1
17,2765.8,1311921.303038,1311921.303038,0.139064,1
17,2766.8,1311921.303038,1311921.303038,0.125158,1
17,2788.3,1309383.863199,1309383.863199,0.112642,1
17,2792.3,1309372.698853,1309372.698853,0.101378,1
17,2793.3,1309372.698853,1309372.698853,5.000000,1
17,2814.7,1306013.741846,1306013.741846,4.500000,1
17,2877.7,1306013.688846,1306013.688846,4.050000,1
17,2878.7,1306013.688846,1306013.688846,3.645000,1
17,2900.1,1303247.615699,1303247.615699,3.280500,1
17,2913.1,1303228.130774,1303228.130774,2.952450,1
17,2918.2,1303228.130774,1303228.130774,2.657205,1
17,2940.6,1301475.971337,1301475.971337,2.391485,1
17,2963.6,1301472.788314,1301472.788314,2.152336,1
17,2984.9,1298361.606027,1298361.606027,1.937102,1
17,3199.9,1298361.606027,1298361.606027,1.743392,1
17,3200.9,1298361.606027,1298361.606027,1.569053,1
17,3222.3,1296962.308407,1296962.308407,1.412148,1
17,3256.3,1296952.697527,1296952.697527,1.270933,1
17,3261.3,1296952.697527,1296952.697527,1.143840,1
17,3283.6,1294985.066632,1294985.066632,1.029456,1
17,3432.6,1294985.066632,1294985.066632,0.926510,1
17,3454.0,1292732.544493,1292732.544493,0.833859,1
17,3673.0,1292732.544493,1292732.544493,0.750473,1
17,3674.0,1292732.544493,1292732.544493,0.675426,1
17,3695.3,1290311.246764,1290311.246764,0.607883,1
17,3708.3,1290248.888621,1290248.888621,0.547095,1
17,3713.3,1290248.888621,1290248.888621,0.492385,1
17,3714.3,1290248.888621,1290248.888621,0.443147,1
17,3729.3,1290096.417497,1290096.417497,0.398832,1
17,3750.6,1288673.699246,1288673.699246,0.358949,1
17,3755.6,1288616.856409,1288616.856409,0.323054,1
17,3756.6,1288616.856409,1288616.856409,0.290749,1
17,3777.9,1286848.796115,1286848.796115,0.261674,1
17,3813.9,1286848.430962,1286848.430962,0.235506,1
17,3818.9,1286848.430962,1286848.430962,0.211956,1
